"resultado","convocatoria","escalafon","sexo","disciplina_codigo","n"
"Denegado","2011","Becas doctorales","M","KB3",20
"Denegado","2011","Becas doctorales","M","KB4",14
"Denegado","2011","Becas doctorales","M","KE1",13
"Denegado","2011","Becas doctorales","M","KE2",3
"Denegado","2011","Becas doctorales","M","KE3",11
"Denegado","2011","Becas doctorales","M","KE4",6
"Denegado","2011","Becas doctorales","M","KE5",5
"Denegado","2011","Becas doctorales","M","KS1",35
"Denegado","2011","Becas doctorales","M","KS2",26
"Denegado","2011","Becas doctorales","M","KS3",46
"Denegado","2011","Becas doctorales","M","KS4",98
"Denegado","2011","Becas doctorales","M","KS5",65
"Denegado","2011","Becas doctorales","M","KS6",18
"Denegado","2011","Becas doctorales","M","KS7",19
"Denegado","2011","Becas externas","F","KS3",1
"Denegado","2011","Becas externas","F","KS4",1
"Denegado","2011","Becas externas","M","KS4",2
"Denegado","2011","Becas externas","M","KS5",1
"Denegado","2011","Becas externas","M","KS6",1
"Denegado","2011","Becas postdoctorales","F","KA1",16
"Denegado","2011","Becas postdoctorales","F","KA2",5
"Denegado","2011","Becas postdoctorales","F","KA3",2
"Denegado","2011","Becas postdoctorales","F","KA4",2
"Denegado","2011","Becas postdoctorales","F","KA5",24
"Denegado","2011","Becas postdoctorales","F","KB1",70
"Denegado","2011","Becas postdoctorales","F","KB2",118
"Denegado","2011","Becas postdoctorales","F","KB3",21
"Denegado","2011","Becas postdoctorales","F","KB4",14
"Denegado","2011","Becas postdoctorales","F","KE1",27
"Denegado","2011","Becas postdoctorales","F","KE2",2
"Denegado","2011","Becas postdoctorales","F","KE3",1
"Denegado","2011","Becas postdoctorales","F","KE4",1
"Denegado","2011","Becas postdoctorales","F","KE5",9
"Denegado","2011","Becas postdoctorales","F","KS1",15
"Denegado","2011","Becas postdoctorales","F","KS2",17
"Denegado","2011","Becas postdoctorales","F","KS3",13
"Denegado","2011","Becas postdoctorales","F","KS4",82
"Denegado","2011","Becas postdoctorales","F","KS5",33
"Denegado","2011","Becas postdoctorales","F","KS6",3
"Denegado","2011","Becas postdoctorales","F","KS7",26
"Denegado","2011","Becas postdoctorales","F","KT1",3
"Denegado","2011","Becas postdoctorales","M","KA1",3
"Denegado","2011","Becas postdoctorales","M","KA2",1
"Denegado","2011","Becas postdoctorales","M","KA3",1
"Denegado","2011","Becas postdoctorales","M","KA4",2
"Denegado","2011","Becas postdoctorales","M","KA5",4
"Denegado","2011","Becas postdoctorales","M","KB1",21
"Denegado","2011","Becas postdoctorales","M","KB2",43
"Denegado","2011","Becas postdoctorales","M","KB3",10
"Denegado","2011","Becas postdoctorales","M","KB4",3
"Denegado","2011","Becas postdoctorales","M","KE1",9
"Denegado","2011","Becas postdoctorales","M","KE2",1
"Denegado","2011","Becas postdoctorales","M","KE3",11
"Denegado","2011","Becas postdoctorales","M","KE5",4
"Denegado","2011","Becas postdoctorales","M","KS1",16
"Denegado","2011","Becas postdoctorales","M","KS2",6
"Denegado","2011","Becas postdoctorales","M","KS3",12
"Denegado","2011","Becas postdoctorales","M","KS4",46
"Denegado","2011","Becas postdoctorales","M","KS5",22
"Denegado","2011","Becas postdoctorales","M","KS6",1
"Denegado","2011","Becas postdoctorales","M","KS7",2
"Denegado","2011","Becas postdoctorales","M","KT1",4
"Denegado","2012","Becas doctorales","F","KA1",34
"Denegado","2012","Becas doctorales","F","KA2",20
"Denegado","2012","Becas doctorales","F","KA3",10
"Denegado","2012","Becas doctorales","F","KA4",4
"Denegado","2012","Becas doctorales","F","KA5",51
"Denegado","2012","Becas doctorales","F","KB1",80
"Denegado","2012","Becas doctorales","F","KB2",111
"Denegado","2012","Becas doctorales","F","KB3",48
"Denegado","2012","Becas doctorales","F","KB4",26
"Denegado","2012","Becas doctorales","F","KE1",21
"Denegado","2012","Becas doctorales","F","KE2",4
"Denegado","2012","Becas doctorales","F","KE3",4
"Denegado","2012","Becas doctorales","F","KE4",10
"Denegado","2012","Becas doctorales","F","KE5",16
"Denegado","2012","Becas doctorales","F","KS1",68
"Denegado","2012","Becas doctorales","F","KS2",69
"Denegado","2012","Becas doctorales","F","KS3",27
"Denegado","2012","Becas doctorales","F","KS4",118
"Denegado","2012","Becas doctorales","F","KS5",91
"Denegado","2012","Becas doctorales","F","KS6",17
"Denegado","2012","Becas doctorales","F","KS7",54
"Denegado","2012","Becas doctorales","M","KA1",22
"Denegado","2012","Becas doctorales","M","KA2",16
"Denegado","2012","Becas doctorales","M","KA3",4
"Denegado","2012","Becas doctorales","M","KA4",19
"Denegado","2012","Becas doctorales","M","KA5",20
"Denegado","2012","Becas doctorales","M","KB1",31
"Denegado","2012","Becas doctorales","M","KB2",38
"Denegado","2012","Becas doctorales","M","KB3",23
